X,Y,CT,icon_url
-49.4851912145058,-28.3808443628711,1.74200,./0.png
-49.485009417366,-28.3807003313797,1.74500,./0.png
-49.484884106798,-28.3805116490746,1.77700,./0.png
-49.4847634209403,-28.3803250762086,1.75400,./0.png
-49.4846096634442,-28.3801731235202,1.69000,./0.png
-49.4843234716554,-28.3801699405054,1.41500,./0.png
-49.4842156796896,-28.3802222526367,1.27100,./0.png
-49.4840135732536,-28.3801973649618,1.02900,./0.png
-49.4837937159113,-28.3802751855154,1.05700,./0.png
-49.4859501686963,-28.3826248404825,1.56400,./0.png
-49.486022206823,-28.3823045740079,1.57900,./0.png
-49.4860257906557,-28.3822161146101,1.57700,./0.png
-49.4813932634112,-28.3811746084107,1.46600,./0.png
-49.481100968822,-28.381109606965,1.56300,./0.png
-49.4808395775959,-28.3811622622205,1.69100,./0.png
-49.4808418259433,-28.3813310530378,1.65100,./0.png
-49.4808331149907,-28.3814523849333,1.62800,./0.png
-49.4806888342037,-28.3816154257753,1.52900,./0.png
-49.4806680490374,-28.3817674948012,1.46900,./0.png
-49.4807263348629,-28.3822497444518,1.39700,./0.png
-49.4805614049006,-28.3823919736831,1.41600,./0.png
-49.4801861269625,-28.3832501398614,1.41800,./0.png
-49.4801426383089,-28.3835254425788,1.41800,./0.png
-49.4802290284401,-28.3830159929264,1.41900,./0.png
-49.4802908670126,-28.3827594178772,1.41800,./0.png
-49.4804742363615,-28.3826297433516,1.41500,./0.png
-49.4810610426997,-28.3822781734423,1.40300,./0.png
-49.4808806767692,-28.3818707133093,1.39500,./0.png
-49.4816955104556,-28.3811944415083,1.42400,./0.png
-49.4819251808184,-28.3815715781711,1.44000,./0.png
-49.4819774772186,-28.3818211932394,1.43100,./0.png
-49.4823130808554,-28.3816232359554,1.39300,./0.png
