X,Y,Text,tipo,angulo,icon_url
-49.4946019510699,-28.3965189789687,"5",Galeria,"135",./0.png
-49.4947060469939,-28.3963230603758,"3",Galeria,"135",./0.png
-49.4948132892414,-28.3961247948899,"1",Galeria,"135",./0.png
-49.4949166854143,-28.3959349719615,"0",Galeria,"135",./0.png
-49.49502041164,-28.3957374751879,"2",Galeria,"135",./0.png
-49.4951256617292,-28.3955396771245,"4",Galeria,"135",./0.png
-49.4952595841725,-28.3952977249113,"6",Galeria,"135",./0.png
-49.4961474267376,-28.3956655717666,"6",Galeria,"135",./0.png
-49.49625694828,-28.3954528414611,"8",Galeria,"135",./0.png
-49.4963722843111,-28.3952560160985,"10",Galeria,"135",./0.png
-49.4964770771649,-28.3950397802443,"12",Galeria,"135",./0.png
-49.4911791451142,-28.3966461484248,"0",Galeria,"135",./0.png
-49.4914008100083,-28.396737775253,"2",Galeria,"135",./0.png
-49.4916206229608,-28.3968281029476,"4",Galeria,"135",./0.png
-49.4918421447239,-28.3969216883028,"6",Galeria,"135",./0.png
-49.4920615695947,-28.3970188781778,"8",Galeria,"135",./0.png
-49.4922915876889,-28.3971242845664,"10",Galeria,"135",./0.png
-49.4925103255561,-28.3972218109272,"12",Galeria,"135",./0.png
-49.4909554130305,-28.3965501307257,"1",Galeria,"135",./0.png
-49.4907341190315,-28.3964572060928,"3",Galeria,"135",./0.png
-49.4905145353022,-28.3963650892594,"5",Galeria,"135",./0.png
-49.4902913605213,-28.3962718698466,"7",Galeria,"135",./0.png
-49.4900699818647,-28.3961792012038,"9",Galeria,"135",./0.png
-49.4898054397307,-28.396188236459,"11",Galeria,"135",./0.png
-49.4912573724069,-28.3963187013224,TV 0,Travessa,"45",./0.png
-49.4911541052194,-28.3965156459996,TV 1,Travessa,"45",./0.png
-49.4910497395114,-28.3967115602953,TV 2,Travessa,"45",./0.png
-49.4909424796777,-28.3969065426596,TV 3,Travessa,"45",./0.png
-49.4908401663849,-28.3971031508866,TV 4,Travessa,"45",./0.png
-49.4907361503598,-28.397299479879,TV 5,Travessa,"45",./0.png
-49.490636976705,-28.3974756179436,TV 6,Travessa,"45",./0.png
-49.4905324718596,-28.3976520270864,TV7,Travessa,"45",./0.png
-49.4942877510668,-28.3971153356378,"11",Galeria,"135",./0.png
-49.4962007813986,-28.3963936076828,TV 39,Travessa,"45",./0.png
-49.4964256045437,-28.3965258735838,TV 40,Travessa,"45",./0.png
-49.4966456941302,-28.3966648198007,TV 41,Travessa,"45",./0.png
-49.490968561217,-28.3980554752809,"4",Galeria,"135",./0.png
-49.4907459733633,-28.3979611134695,"2",Galeria,"135",./0.png
-49.4905238438826,-28.3978677109176,"0",Galeria,"135",./0.png
-49.4900821017147,-28.3976820284029,"3",Galeria,"135",./0.png
-49.4898605738165,-28.397590408329,"5",Galeria,"135",./0.png
-49.4896386960319,-28.3974960064822,"7",Galeria,"135",./0.png
-49.4894705181753,-28.3973024082687,"9",Galeria,"135",./0.png
-49.4965344848929,-28.3944878727683,TV 0,Travessa,"45",./0.png
-49.4965888857949,-28.3948292391891,"14",Galeria,"135",./0.png
-49.4964348957318,-28.3942729471798,"2",Galeria,"135",./0.png
-49.4961490937943,-28.3941526701992,"4",Galeria,"135",./0.png
-49.4958615232599,-28.3940326021042,"6",Galeria,"135",./0.png
-49.495575474523,-28.3939134653697,"8",Galeria,"135",./0.png
-49.4953003271252,-28.3938004742943,"10",Galeria,"135",./0.png
-49.4950148637439,-28.3936814468712,"12",Galeria,"135",./0.png
-49.4967188372368,-28.3943928246342,"0",Galeria,"135",./0.png
-49.4970024134291,-28.3945094012984,"1",Galeria,"135",./0.png
-49.497290395152,-28.3946297112969,"3",Galeria,"135",./0.png
-49.4975768153947,-28.3947500685287,"5",Galeria,"135",./0.png
-49.4978643358705,-28.394869483639,"7",Galeria,"135",./0.png
-49.498150047817,-28.3949885300505,"9",Galeria,"135",./0.png
-49.4984442506496,-28.3951136817653,"11",Galeria,"135",./0.png
-49.4947259778697,-28.3935652657455,"14",Galeria,"135",./0.png
-49.4976438315577,-28.3919684919376,"2",Galeria,"135",./0.png
-49.4973390571052,-28.3918421285133,"4",Galeria,"135",./0.png
-49.497032467835,-28.3917171527966,"6",Galeria,"135",./0.png
-49.4967322351915,-28.391584674165,"8",Galeria,"135",./0.png
-49.4964339265469,-28.3914713317313,"10",Galeria,"135",./0.png
-49.4961331340616,-28.3913390073326,"12",Galeria,"135",./0.png
-49.4979461879618,-28.3920974411532,"0",Galeria,"135",./0.png
-49.4982504816224,-28.3922218913603,"1",Galeria,"135",./0.png
-49.4985590934433,-28.3923485032195,"3",Galeria,"135",./0.png
-49.4988612596192,-28.3924751610854,"5",Galeria,"135",./0.png
-49.4991419038387,-28.39264962495,"7",Galeria,"135",./0.png
-49.4958700854826,-28.3911342500564,"14",Galeria,"135",./0.png
-49.4944386982966,-28.3934477594278,"16",Galeria,"135",./0.png
-49.4941544944608,-28.3933275246255,"18",Galeria,"135",./0.png
-49.4938811170021,-28.3931629321064,TV 0,Travessa,"45",./0.png
-49.4914641198291,-28.392203489403,"36",Galeria,"135",./0.png
-49.4911773260697,-28.3920835746477,"38",Galeria,"135",./0.png
-49.4933288657015,-28.3931399639802,TV 0,Travessa,"45",./0.png
-49.4987330555103,-28.3952341435603,"13",Galeria,"135",./0.png
-49.4990188691307,-28.3953541559281,"15",Galeria,"135",./0.png
-49.4993223422958,-28.3954825981427,"17",Galeria,"135",./0.png
-49.4998865632664,-28.3934130435731,TV 8,Travessa,"45",./0.png
-49.499607795672,-28.3956036451701,"19",Galeria,"135",./0.png
-49.499893251297,-28.3957214695945,"21",Galeria,"135",./0.png
-49.5001828115246,-28.3958427129507,"23",Galeria,"135",./0.png
-49.5004632292127,-28.3959717675551,"25",Galeria,"135",./0.png
-49.5009923566193,-28.3955442195251,TV 0,Travessa,"45",./0.png
-49.5012783158458,-28.3956638939328,"1",Galeria,"135",./0.png
-49.5011911050305,-28.3955054143032,"0",Galeria,"135",./0.png
-49.5013280747939,-28.3952525288817,"2",Galeria,"135",./0.png
-49.5014671425124,-28.3950043300827,"4",Galeria,"135",./0.png
-49.5016013446611,-28.394751045009,"6",Galeria,"135",./0.png
-49.5010718545242,-28.395762392833,"1",Galeria,"135",./0.png
-49.5009364301269,-28.3960168189944,"3",Galeria,"135",./0.png
-49.50080430471,-28.3962657685614,"5",Galeria,"135",./0.png
-49.4983017339001,-28.3972151753446,"2",Galeria,"135",./0.png
-49.4985407223044,-28.3973149609675,"4",Galeria,"135",./0.png
-49.4987826431107,-28.3974124591925,"6",Galeria,"135",./0.png
-49.4978286663165,-28.3969984276288,"1",Galeria,"135",./0.png
-49.4975888945465,-28.3969009505241,"3",Galeria,"135",./0.png
-49.4973486180558,-28.3968008113043,"5",Galeria,"135",./0.png
-49.4971090418245,-28.3966978529099,"7",Galeria,"135",./0.png
-49.499022848672,-28.3975093654525,"8",Galeria,"135",./0.png
-49.4992753027268,-28.3976174065477,"10",Galeria,"135",./0.png
-49.4995129972628,-28.3977243420244,"12",Galeria,"135",./0.png
-49.4997899743846,-28.397662117939,TV 0,Travessa,"45",./0.png
-49.4999873828115,-28.3978408380565,TV 1,Travessa,"45",./0.png
-49.5002787098845,-28.3979506535548,TV 2,Travessa,"45",./0.png
-49.499996269008,-28.3975446847548,"3",Galeria,"135",./0.png
-49.5001096813073,-28.397330997212,"1",Galeria,"135",./0.png
-49.5002273065331,-28.3971217404332,"0",Galeria,"135",./0.png
-49.5003329772374,-28.3969074554585,"2",Galeria,"135",./0.png
-49.5004451794968,-28.396694598298,"4",Galeria,"135",./0.png
-49.4998817808459,-28.3977566609911,"5",Galeria,"135",./0.png
-49.4997720661014,-28.3979692288424,"7",Galeria,"135",./0.png
-49.4996630730191,-28.3981837447259,"9",Galeria,"135",./0.png
-49.4995207366525,-28.3983929020771,"11",Galeria,"135",./0.png
-49.5013470786215,-28.3975910620195,"0",Galeria,"135",./0.png
-49.5014795942815,-28.3973351753398,"2",Galeria,"135",./0.png
-49.5016082078533,-28.3970803619925,"4",Galeria,"135",./0.png
-49.501208864553,-28.3978393969316,"1",Galeria,"135",./0.png
-49.5010755638052,-28.398094056955,"3",Galeria,"135",./0.png
-49.500947197632,-28.3983513322033,"5",Galeria,"135",./0.png
-49.5039216986187,-28.3986710007417,"0",Galeria,"135",./0.png
-49.5040508139168,-28.3984147068493,"2",Galeria,"135",./0.png
-49.5041819080152,-28.3981574006093,"4",Galeria,"135",./0.png
-49.5037877733551,-28.3989195773251,"1",Galeria,"135",./0.png
-49.5036468439206,-28.3991725521036,"3",Galeria,"135",./0.png
-49.5035208594463,-28.3994288272404,"5",Galeria,"135",./0.png
-49.5033833949127,-28.3996803268285,"7",Galeria,"135",./0.png
-49.4700285689812,-28.3992298335864,"0",Galeria,"135",./0.png
-49.4699811264556,-28.3993439961774,"1",Galeria,"135",./0.png
-49.4699153325519,-28.3994605232362,"3",Galeria,"135",./0.png
-49.4698624509964,-28.3995777992685,"5",Galeria,"135",./0.png
-49.4698041662823,-28.3996938444801,"7",Galeria,"135",./0.png
-49.4700892727976,-28.3991152243529,"2",Galeria,"135",./0.png
-49.470145640031,-28.3989967682859,"4",Galeria,"135",./0.png
-49.4701994486793,-28.3988805821935,"6",Galeria,"135",./0.png
-49.4697783504026,-28.3989961738567,TV 0,Travessa,"45",./0.png
-49.4699150764918,-28.3988817970929,TV 1,Travessa,"45",./0.png
-49.4703925164819,-28.3990638380941,TV 4,Travessa,"45",./0.png
-49.4705542698751,-28.3991209009249,TV 5,Travessa,"45",./0.png
-49.4707079442842,-28.3991904596761,TV 6,Travessa,"45",./0.png
-49.4708696605506,-28.3992491686049,TV 7,Travessa,"45",./0.png
-49.470072985957,-28.3989402789713,TV 2,Travessa,"45",./0.png
-49.4702316031274,-28.3990078946895,TV 3,Travessa,"45",./0.png
-49.4702556832394,-28.3987651998098,"8",Galeria,"135",./0.png
-49.5017435449742,-28.3968274955224,"6",Galeria,"135",./0.png
-49.5018788814297,-28.3965746288844,"8",Galeria,"135",./0.png
-49.5021475727649,-28.3960813134934,"12",Galeria,"135",./0.png
-49.5020128748563,-28.3963359195434,"10",Galeria,"135",./0.png
-49.5045805117852,-28.3974100069861,"10",Galeria,"135",./0.png
-49.5044525725991,-28.3976516621045,"8",Galeria,"135",./0.png
-49.5043172406398,-28.3979045314408,"6",Galeria,"135",./0.png
-49.5043735141348,-28.3962492478371,"0",Galeria,"135",./0.png
-49.5040866345938,-28.3961338415218,"2",Galeria,"135",./0.png
-49.5038016193116,-28.3960131460904,"4",Galeria,"135",./0.png
-49.5035147056516,-28.3958924066189,"6",Galeria,"135",./0.png
-49.5032293312282,-28.3957717239018,"8",Galeria,"135",./0.png
-49.5055188262579,-28.3967292106888,"7",Galeria,"135",./0.png
-49.5052308363684,-28.3966074266024,"5",Galeria,"135",./0.png
-49.5049446723396,-28.39649090475,"3",Galeria,"135",./0.png
-49.5046569193717,-28.396368561998,"1",Galeria,"135",./0.png
-49.5039357673002,-28.3968199642222,TV 0,Travessa,"45",./0.png
-49.5025933317833,-28.3946825553498,"0",Galeria,"135",./0.png
-49.5024577301069,-28.3949345687984,"2",Galeria,"135",./0.png
-49.5023228356583,-28.3951877346451,"4",Galeria,"135",./0.png
-49.5021878232682,-28.3954408581806,"6",Galeria,"135",./0.png
-49.5027264677123,-28.3944323017441,"1",Galeria,"135",./0.png
-49.5020530428345,-28.3956931252011,"8",Galeria,"135",./0.png
-49.5017901365873,-28.3961893226573,"12",Galeria,"135",./0.png
-49.5030991730638,-28.3947165043919,TV 0,Travessa,"45",./0.png
-49.5029567624242,-28.3956541733673,"10",Galeria,"135",./0.png
-49.5005646745685,-28.3980703296345,TV 3,Travessa,"45",./0.png
-49.500850573171,-28.3981901999011,TV 4,Travessa,"45",./0.png
-49.5011372194388,-28.3983100973172,TV 5,Travessa,"45",./0.png
-49.5014234506498,-28.3984300210493,TV 6,Travessa,"45",./0.png
-49.5018088868475,-28.3983579165858,TV 7,Travessa,"45",./0.png
-49.5019950159818,-28.3986690363571,TV 8,Travessa,"45",./0.png
-49.5022810222845,-28.3987887432489,TV 9,Travessa,"45",./0.png
-49.5025664501741,-28.3989081254738,TV 10,Travessa,"45",./0.png
-49.5028534488386,-28.3990282810963,TV 11,Travessa,"45",./0.png
-49.5031383998005,-28.3991475339386,TV 12,Travessa,"45",./0.png
-49.5034263429022,-28.399267156121,TV 13,Travessa,"45",./0.png
-49.5037113985671,-28.3993876290508,TV 14,Travessa,"45",./0.png
-49.5039963651126,-28.3995066473947,TV 15,Travessa,"45",./0.png
-49.5042829070839,-28.3996265832261,TV 16,Travessa,"45",./0.png
-49.504568248816,-28.3997458832623,TV 17,Travessa,"45",./0.png
-49.504068890203,-28.396566895767,TV 1,Travessa,"45",./0.png
-49.5042045747238,-28.396311942313,TV 2,Travessa,"45",./0.png
-49.5043402147341,-28.396060113347,TV 3,Travessa,"45",./0.png
-49.5044758340951,-28.3958073442953,TV 4,Travessa,"45",./0.png
-49.504611570956,-28.3955561279281,TV 5,Travessa,"45",./0.png
-49.5047467362489,-28.3953026202875,TV 6,Travessa,"45",./0.png
-49.4966702798286,-28.3942347675603,TV 1,Travessa,"45",./0.png
-49.4968055190731,-28.3939818253492,TV 2,Travessa,"45",./0.png
-49.4969406716816,-28.3937288036578,TV 3,Travessa,"45",./0.png
-49.4970757542386,-28.3934762727621,TV 4,Travessa,"45",./0.png
-49.4972111527608,-28.3932241771725,TV 5,Travessa,"45",./0.png
-49.4973471762798,-28.3929701122753,TV 6,Travessa,"45",./0.png
-49.4974819707154,-28.3927178245436,TV 7,Travessa,"45",./0.png
